"ID","Group","Order","Task","Action","Files or commands","Depends on","Acceptance","Status"
"S01","Identity foundation","1","Add Spring Security","Add OAuth2 Client and Security dependencies using Spring Boot dependency management.","backend/pom.xml","Approved plan","Maven resolves maintained dependencies and all current tests pass.","TODO"
"S02","Identity foundation","2","Define server settings","Add typed validated configuration for the public URL numeric owner ID and required OAuth values.","backend/src/main; application-server.yaml","S01","The server profile fails to start for every absent or malformed required value.","TODO"
"S03","Identity foundation","3","Map GitHub owner","Read the numeric GitHub principal ID and grant ROLE_OWNER only on an exact configured match.","Backend security package","S02","The configured numeric ID is owner and every other authenticated identity is denied.","TODO"
"S04","Identity foundation","4","Secure routes","Use default-deny backend rules for API images authentication callbacks Swagger and Actuator.","SecurityFilterChain","S03","Endpoint matrix tests prove the intended result for anonymous owner and non-owner clients.","TODO"
"S05","Identity foundation","5","Protect browser sessions","Configure session fixation protection secure cookie attributes timeout logout and CSRF.","Security and session configuration","S04","Writes require CSRF; login rotates the session; logout and expiry invalidate it.","TODO"
"S06","Identity foundation","6","Expose session contract","Add minimal current-session and CSRF data for the SPA without exposing OAuth tokens.","GET /api/session; docs/api.md","S05","The SPA can learn auth state and submit protected writes without receiving provider tokens.","TODO"
"S07","Identity foundation","7","Preserve local mode","Keep authentication disabled only for explicitly local loopback profiles.","Profiles; backend tests","S04","Local suites pass and the server profile cannot fall back to local security.","TODO"
"S08","Frontend authentication","8","Add auth state","Load session state and model loading anonymous owner denied and expired states.","frontend/src/features/auth","S06","Each auth state renders predictably and private data is not cached after logout.","TODO"
"S09","Frontend authentication","9","Add login and logout","Provide an accessible login page owner indicator and CSRF-protected logout.","Frontend routes and shell","S08","Keyboard users can sign in and out and return to the intended route safely.","TODO"
"S10","Frontend authentication","10","Protect mutations","Attach the current CSRF token to create edit image and delete requests.","frontend/src/api","S08","All mutations work for owner and fail clearly after session expiry.","TODO"
"S11","Frontend authentication","11","Test auth UX","Add component and mocked-browser coverage without real GitHub credentials.","Vitest; MSW; Playwright","S09,S10","Anonymous denied expired and owner flows pass deterministically in CI.","TODO"
"S12","Private topology","12","Add server Compose profile","Keep frontend on loopback and remove backend and PostgreSQL host publication.","compose.server.yaml","S07","Socket inspection shows only the intended loopback frontend listener.","TODO"
"S13","Private topology","13","Route security endpoints","Proxy API OAuth callback login and logout paths before SPA fallback.","frontend/nginx.conf","S12","OAuth routes reach Spring and browser routes still survive direct navigation.","TODO"
"S14","Private topology","14","Trust proxy deliberately","Forward the original HTTPS details and process them only in the server profile.","nginx; application-server.yaml","S13","Redirects use the exact HTTPS origin and forged client headers cannot bypass policy.","TODO"
"S15","Private topology","15","Document secrets","Provide names and permission checks while keeping all real values outside Git.",".env.server.example; scripts; docs","S12","Validation rejects defaults missing secrets and group/world-readable secret files.","TODO"
"S16","Private topology","16","Configure private edge","Document Tailscale Serve owner-only tailnet policy firewall and administration path.","Server runbook","S12","Serve is private Funnel is absent and no public application port responds.","TODO"
"S17","Security verification","17","Test authorization matrix","Exercise every route as anonymous owner and a different authenticated identity.","Backend and assembled tests","S11,S16","No private response or write succeeds outside the owner session.","TODO"
"S18","Security verification","18","Test browser defenses","Verify CSRF cookies callback matching origin behavior CSP HSTS and other headers.","Full-stack security test","S17","Negative cases fail safely and exact expected security attributes are present.","TODO"
"S19","Security verification","19","Audit exposed services","Inspect sockets proxy routes Actuator Swagger database and direct backend access.","Server acceptance script","S16","Only private HTTPS through Tailscale reaches the application.","TODO"
"S20","Security verification","20","Close deployment gate","Run regression and security suites and record residual risk review.","All project tests; SERVER_SECURITY_PLAN.md","S18,S19","Every deployment-gate item is evidenced or deployment remains blocked.","TODO"
"S21","Server operations","21","Pin target host","Choose supported Linux host OS container runtime storage and update policy.","Server runbook","S20","The supported environment and patch procedure are reproducible.","TODO"
"S22","Server operations","22","Deploy immutable release","Run release-tagged images with persistent database and upload volumes.","Deployment scripts/runbook","S21","Installed image digests map to a reviewed tag and data survives restart.","TODO"
"S23","Server operations","23","Establish recovery copies","Back up server database and uploads together encrypt the archive and copy it to the trusted local computer.","Backup configuration and restore drill","S22","An isolated restore verifies records translations image metadata and bytes.","TODO"
