"ID","Phase","Step","Task","Detailed Instructions","Commands / Files","Depends On","Acceptance Criteria","Status"
"1","Planning","1","Confirm MVP scope","Confirm that version 1 contains a start-page table, create/edit/delete operations, a detail card, Markdown content, examples, images, and English/German/Russian content.","docs/WORKSHEET.csv","","The MVP contains every requested function and excludes optional post-MVP features.","DONE"
"2","Planning","2","Choose architecture","Use one repository with a React SPA, Spring Boot REST API, PostgreSQL database, local image storage, and Docker Compose.","frontend/; backend/; uploads/; compose.yaml","1","Architecture and top-level directories are agreed.","DONE"
"3","Planning","3","Define completion rules","Require a unique slug, translations for EN/DE/RU, valid content, optional ordered images, passing tests, and a successful clean-start smoke test.","README.md","1","A concise definition of done is documented.","DONE"
"4","Environment","4","Install Git","Install Git in WSL and configure the developer name and email when not already configured.","git --version; git config --global user.name; git config --global user.email","","git --version succeeds inside WSL.","DONE"
"5","Environment","5","Install Java 21","Install a Java 21 JDK inside WSL and configure JAVA_HOME if required.","java --version; javac --version","","Both commands report Java 21.","DONE"
"6","Environment","6","Install Docker integration","Install Docker Desktop with WSL integration or Docker Engine in WSL, including Docker Compose.","docker --version; docker compose version; docker run --rm hello-world","","Docker commands work from the Ubuntu WSL shell.","DONE"
"7","Environment","7","Install Node.js LTS","Install the current supported Node.js LTS in WSL using a version manager and pin the selected version.","node --version; npm --version; .nvmrc","","Node and npm work in WSL and .nvmrc pins the version.","DONE"
"8","Environment","8","Configure editor","Use a Windows editor with WSL integration and install Java, Spring, TypeScript, ESLint, Prettier, and Tailwind extensions.","Editor WSL extension and project settings","4","The repository opens in WSL mode with working terminals and language services.","IN PROGRESS"
"9","Repository","9","Inspect repository state","Review existing files, Git state, and repository instructions before scaffolding; preserve unrelated work.","pwd; find; git status; AGENTS.md","4","Existing files and constraints are understood and preserved.","DONE"
"10","Repository","10","Initialize repository and directories","Initialize Git if necessary and create backend, frontend, docs, and uploads directories plus a root README.","git init; backend/; frontend/; docs/; uploads/; README.md","9","The agreed repository structure exists.","DONE"
"11","Repository","11","Configure ignored content","Ignore secrets, IDE files, node_modules, Java build output, uploads, logs, and local database data while retaining required empty directories.",".gitignore; uploads/.gitkeep","10","Generated or sensitive files do not appear in Git status.","DONE"
"12","Backend setup","12","Generate Spring Boot project","Create a Maven Spring Boot application using Java 21 with Web, Data JPA, Validation, PostgreSQL, Flyway, and Actuator.","backend/pom.xml; backend/mvnw; backend/mvnw.cmd","5","./mvnw test starts the Spring context successfully.","DONE"
"13","Backend setup","13","Create package structure","Create configuration, controller, service, repository, domain, DTO, mapper, storage, and exception packages.","backend/src/main/java/...","12","The package structure is clear and the application compiles.","DONE"
"14","Backend setup","14","Configure profiles","Create default, local, and test configuration; read database, CORS, and upload settings from environment variables.","application.yml; application-local.yml; application-test.yml; .env.example","12","Local and test profiles start without committed credentials.","DONE"
"15","Database","15","Add PostgreSQL service","Define a health-checked PostgreSQL service with a named volume and local development credentials in Docker Compose.","compose.yaml; docker compose up -d postgres","6","The database container becomes healthy and accepts connections.","DONE"
"16","Database","16","Document data model","Design element, element_translation, and element_image records with timestamps, language codes, image order, and cascading rules.","docs/data-model.md","3","The model supports EN, DE, RU and future languages without duplicating elements.","DONE"
"17","Database","17","Create initial Flyway migration","Create tables, indexes, foreign keys, check constraints, and uniqueness for slug and element/language pairs.","backend/src/main/resources/db/migration/V1__create_initial_schema.sql","15","Migration applies successfully to an empty PostgreSQL database.","DONE"
"18","Database","18","Add development seed data","Create at least two representative IT definitions with complete translations and examples for local development.","Local-only seed migration or profile-specific initializer","17","The API can be demonstrated immediately after local startup.","TODO"
"19","Backend domain","19","Implement JPA entities","Implement Element, ElementTranslation, and ElementImage with audit timestamps and carefully chosen cascade/orphan behavior.","backend/src/main/java/.../domain","17","Entities persist and reload all translations and ordered images.","TODO"
"20","Backend domain","20","Implement repositories","Create Spring Data repositories and efficient list/detail queries that avoid unnecessary repeated queries.","backend/src/main/java/.../repository","19","Repository tests cover save, query, uniqueness, and deletion.","TODO"
"21","Backend API","21","Define DTOs","Create separate list, detail, create/update, translation, image, and validation-error DTOs; never expose entities directly.","backend/src/main/java/.../dto","19","The HTTP contract contains all required fields and no persistence internals.","TODO"
"22","Backend API","22","Implement validation","Require a valid unique slug and nonblank EN/DE/RU translations; validate text lengths, image type/size, and display order.","Bean Validation and custom validators","21","Invalid requests return HTTP 400 with field-level errors.","TODO"
"23","Backend API","23","Implement element service","Add transactional list, read, create, update, and delete methods; normalize slugs and define not-found/duplicate behavior.","ElementService.java","20","Service tests cover successful and exceptional paths.","TODO"
"24","Backend API","24","Implement CRUD endpoints","Expose GET/POST/PUT/DELETE /api/elements and GET /api/elements/{id}; use correct HTTP statuses and Location on creation.","ElementController.java","23","All element operations work through HTTP.","TODO"
"25","Backend API","25","Standardize errors","Add centralized handling for validation, malformed input, missing records, conflicts, large uploads, and unexpected errors.","@RestControllerAdvice; ProblemDetail","24","Errors have a stable machine-readable structure and no stack traces.","TODO"
"26","Images","26","Configure upload storage","Use an uploads directory outside the packaged application, generate safe server filenames, and block path traversal.","UPLOAD_DIR; UploadStorageService.java","14","Files cannot be written outside the configured directory.","TODO"
"27","Images","27","Implement image endpoints","Add multipart upload, ordered metadata, file retrieval, alt text update if needed, and image deletion.","POST /api/elements/{id}/images; GET/DELETE /api/images/{id}","25","JPEG, PNG, and WebP work within the configured limit; invalid files fail safely.","TODO"
"28","API documentation","28","Add OpenAPI","Generate API documentation for schemas, CRUD endpoints, image upload, language codes, and error responses.","springdoc-openapi; /swagger-ui.html; /v3/api-docs","24","The complete API is inspectable and testable in Swagger UI.","TODO"
"29","Backend tests","29","Add unit tests","Test validation, mapping, slug normalization, service rules, and upload security with JUnit and Mockito where useful.","backend/src/test/java; ./mvnw test","27","Core business rules have deterministic passing tests.","TODO"
"30","Backend tests","30","Add PostgreSQL integration tests","Use Testcontainers PostgreSQL for Flyway, repositories, and REST integration tests instead of relying on H2 compatibility.","Testcontainers dependencies; ./mvnw verify","29","CRUD and upload integration tests pass against disposable PostgreSQL.","TODO"
"31","Frontend setup","31","Create React TypeScript app","Scaffold the frontend with Vite and remove demonstration code.","npm create vite@latest frontend -- --template react-ts","7","npm run dev shows a minimal application without browser console errors.","TODO"
"32","Frontend setup","32","Configure Tailwind CSS","Install Tailwind and its Vite plugin, import it in the global stylesheet, and define a small accessible theme.","tailwindcss; @tailwindcss/vite; vite.config.ts; src/index.css","31","Tailwind utility classes compile and render.","TODO"
"33","Frontend setup","33","Install application libraries","Add React Router, TanStack Query, React Hook Form, Zod, Hook Form resolver, and React Markdown.","npm install react-router-dom @tanstack/react-query react-hook-form zod @hookform/resolvers react-markdown","31","Dependencies and lockfile are committed and the app builds.","TODO"
"34","Frontend setup","34","Install test libraries","Add Vitest, Testing Library, user-event, MSW, Playwright, and accessibility tooling.","npm install --save-dev vitest @testing-library/react @testing-library/user-event msw @playwright/test","31","A sample unit test and Playwright installation check pass.","TODO"
"35","Frontend setup","35","Configure quality scripts","Enable strict TypeScript, ESLint, Prettier, format-check, lint, typecheck, unit-test, and production-build scripts.","tsconfig; eslint.config.js; Prettier config; package.json","33","npm run lint, npm run typecheck, and npm run build pass.","TODO"
"36","Frontend architecture","36","Create source structure","Organize API, components, features, hooks, pages, routes, schemas, types, and utilities; keep server state in TanStack Query.","frontend/src/...","33","Every concern has a clear location and no global state library is required.","TODO"
"37","Frontend architecture","37","Configure routing and shell","Create /, /elements/new, /elements/:id, /elements/:id/edit, and not-found routes with a shared accessible layout.","React Router configuration","36","Direct links and browser back/forward work for every page.","TODO"
"38","Frontend API","38","Implement typed API client","Create typed fetch helpers, common error parsing, base-URL configuration, and multipart upload support.","frontend/src/api; VITE_API_BASE_URL","24","The client handles success, field errors, 404, conflict, and network failure.","TODO"
"39","Languages","39","Separate UI and content translations","Use an EN/DE/RU UI message catalogue for labels and errors; store definition translations only in PostgreSQL and persist the selected UI language.","frontend/src/i18n; localStorage","36","Interface labels and definition content can change language independently.","TODO"
"40","List view","40","Build start-page table","Show localized title, slug, and updated date with loading, empty, and error states plus create/edit/delete controls.","ElementListPage.tsx","38","Every stored element appears and actions work by keyboard.","TODO"
"41","List view","41","Add search and sorting","Add title/slug search and basic sorting; keep it client-side initially and document when server pagination should replace it.","ElementListPage components","40","Search and sorting are predictable and clearing controls restores the list.","TODO"
"42","Delete flow","42","Implement safe deletion","Show a confirmation dialog containing the title, prevent duplicate submissions, report errors, and refresh cached queries after success.","DeleteElementDialog.tsx; TanStack mutation","40","Cancel preserves the record; confirm deletes it exactly once.","TODO"
"43","Detail view","43","Build detail card","Render the selected language title, safe Markdown content, examples, ordered responsive images, and edit/back actions.","ElementDetailPage.tsx","38","Selecting a list row opens the complete detail page.","TODO"
"44","Detail view","44","Handle missing data","Create friendly states for missing elements, incomplete translations, broken images, and API failures.","Detail page state components","43","Every failure has a useful message and a recovery or navigation action.","TODO"
"45","Editor","45","Create reusable form schema","Create a Zod schema matching backend rules and a reusable form with English, German, and Russian tabs that reveal tab-specific errors.","ElementForm.tsx; elementSchema.ts","22","Client and server constraints agree and all translations are editable.","TODO"
"46","Editor","46","Implement create page","Build creation for slug, three translations, Markdown, and examples; prevent duplicate submission and navigate to the created detail.","ElementCreatePage.tsx","45","A valid definition is created and validation errors appear by the correct fields.","TODO"
"47","Editor","47","Implement edit page","Load existing data, update all translations, preserve unchanged images, and warn about unsaved form changes where appropriate.","ElementEditPage.tsx","45","Updates persist and appear immediately on the detail page.","TODO"
"48","Editor","48","Add safe Markdown preview","Use the same renderer for preview and detail; keep raw HTML disabled unless a sanitization policy is deliberately added.","MarkdownPreview.tsx","43","Preview matches saved output and cannot execute scripts.","TODO"
"49","Editor","49","Add image management UI","Support image selection, upload progress, preview, alt text, ordering, deletion, and visible file validation.","ImageManager.tsx","27","Images can be managed from the editor and appear correctly on detail.","TODO"
"50","UX quality","50","Review accessibility","Check semantic headings, table/form labels, keyboard use, focus styles, dialog focus management, alt text, contrast, and reduced-motion behavior.","All frontend views; automated a11y checks","49","No serious automated findings and the full keyboard flow succeeds.","TODO"
"51","UX quality","51","Verify responsive design","Make tables/actions usable on phones and keep forms, cards, Markdown, and galleries readable at phone, tablet, and desktop widths.","Tailwind responsive utilities","49","Key pages have no unintended horizontal overflow.","TODO"
"52","Frontend tests","52","Add component tests","Test list states, routing, confirmation, language switching, Markdown rendering, form validation, and submissions with mocked HTTP responses.","Vitest; Testing Library; MSW","49","Critical flows and failure states have passing component tests.","TODO"
"53","End-to-end tests","53","Add Playwright tests","Test create, list, view, language switch, edit, image upload, persistence after reload, and delete against the full stack.","frontend/e2e; Playwright config","52","The complete requested workflow passes in a browser.","TODO"
"54","Security","54","Apply baseline security","Restrict CORS, cap payloads/uploads, verify MIME and file signatures where practical, sanitize filenames, protect Markdown rendering, and suppress internal errors.","Spring and frontend security configuration","48","Tests reject unsafe origins, paths, files, and rendered scripts.","TODO"
"55","Security","55","Decide authentication","For local-only use, document the absence of access control; before public exposure, protect write operations with authentication and authorization.","docs/security.md; optional Spring Security","54","The exposure model is explicit and no unprotected public editor is deployed.","TODO"
"56","Containers","56","Create backend image","Use a multi-stage build, non-root runtime user, compact Java runtime, environment-based configuration, and Actuator health check.","backend/Dockerfile","30","The backend image builds and becomes healthy.","TODO"
"57","Containers","57","Create frontend image","Build static assets in one stage and serve them from a small web server with SPA route fallback and API routing/configuration.","frontend/Dockerfile; web server config","52","The image builds and nested routes survive direct navigation.","TODO"
"58","Containers","58","Complete Compose stack","Add frontend and backend services, health-based dependencies, environment variables, PostgreSQL volume, and persistent upload volume.","compose.yaml; .env.example","56","docker compose up --build starts the complete app from a clean checkout.","TODO"
"59","Developer experience","59","Add root helper commands","Provide documented start, stop, logs, test, and build commands. Any reset/clean command must not erase persistent data unexpectedly.","Makefile or scripts/; README.md","58","A developer can operate the project without remembering internal commands.","TODO"
"60","Documentation","60","Write complete README","Document prerequisites, WSL setup, environment variables, development mode, Compose mode, migrations, tests, uploads, troubleshooting, and safe data reset.","README.md","59","A new developer starts the app using only the README.","TODO"
"61","Documentation","61","Document contracts","Describe the data model, API examples, language behavior, image limits, error format, and OpenAPI location.","docs/data-model.md; docs/api.md","28","Frontend/backend contracts are understandable without reading implementation code.","TODO"
"62","Quality gate","62","Run backend checks","Run unit tests, PostgreSQL integration tests, packaging, and configured static analysis from a clean state.","cd backend && ./mvnw verify","30","Maven verify completes without failures.","TODO"
"63","Quality gate","63","Run frontend checks","Use a clean install, then run formatting, lint, type checking, unit tests, and production build.","cd frontend; npm ci; npm run format:check; npm run lint; npm run typecheck; npm test -- --run; npm run build","52","Every frontend quality command succeeds.","TODO"
"64","Quality gate","64","Run full-stack tests","Start a fresh Compose stack, wait for health checks, run Playwright, and inspect all service logs.","docker compose up -d --build; Playwright command; docker compose logs","58","Browser tests pass and logs contain no unexpected errors.","TODO"
